key,text
"back_to_register","Back to register"
"add_password","Add Password"
"continue","Continue"
"forgot_password","Forgot password"
"have_an_account","Have an account?"
"login","Login"
"please_enter_otp_code","Please enter OTP code"
"sec","sec"
"sign_up","Sign up"
"address","Address"
"start_explore","Start Explore"
"merchant_type","Merchant type"
"hereglegchiyn_medeelel","User Information"
"ta_uuriyn_medeelliyg_65b43f00","Please fill in your information correctly."
"not_your_account","Not your account?"
"logout","Logout"
"block_date","Block date"
"cancel_policies","Cancel Policies"
"no_variant","No variant"
"discounts","Discounts"
"or_more_nights_of_booking","or more nights of booking"
"first","First"
"order","order"
"property_information","Property Information"
"property_details_and_2b42e214","Property details and information."
"created_at","Created At:"
"admin_active","Admin Active:"
"unpublish","Unpublish"
"publish","Publish"
"status","Status:"
"share_link","Share link:"
"reviews","reviews)"
"pricing_information","Pricing Information"
"pricing_details_and__47b5fa7d","Pricing details and information."
"price_control","Price control"
"location_information","Location Information"
"location_details_and_57b4fc34","Location details and information."
"discount_and_cancel_policy","Discount and Cancel Policy"
"discount_and_cancel__1f2ca9a7","Discount and cancel policy details and information."
"submit","Submit"
"close","Close"
"back_to_listings","Back to listings"
"update_price","Update price"
"price_control_for_th_2593ce75","Price control for the current month."
"selected_date","Selected date"
"bookings","Bookings"
"booking_id",". booking id:"
"select_a_date_to_vie_507e22df","Select a date to view the price and availability."
"previous_month","Previous month"
"next_month","Next month"
"sold_out","Sold out"
"left","left"
"blocked","blocked"
"booking",". booking"
"no_data_available","No data available"
"create_listing","Create Listing"
"your_listing","Your Listing ("
"active","Active"
"inactive","Inactive"
"loading","Loading..."
"back_to_bookings","Back to bookings"
"booking_info","Booking info"
"guest_info","Guest info"
"payment_info","Payment info"
"nights","nights"
"your_booking","Your Booking ("
"transaction_history","Transaction history"
"dansny_medeelel","Account Information"
"net_worth","Net worth"
"total_bookings","Total Bookings"
"incoming_profit","Incoming Profit"
"order_chart","Order Chart"
"profit_chart","Profit Chart"
"transactions","Transactions"
"total_fee","Total Fee:"
"total_profit","Total Profit:"
"view_all_transactions","View all transactions"
"booking_details","Booking details"
"booking_details_and__1435bdd6","Booking details and payment information."
"cancel_booking","Cancel booking"
"your_note","Your note:"
"your_booking_is_cancelled","Your booking is cancelled"
"refund_amount","Refund amount:"
"check_in_and_check_out_date","Check-in and check-out date"
"guest_counts","Guest counts"
"guest","Guest"
"ger_count","Ger count"
"ger","Ger"
"total_amount","Total amount"
"cancelation_policy","Cancelation policy"
"your_booking_has_bee_26d26849","Your booking has been cancelled"
"your_booking_has_bee_41101991","Your booking has been cancelled. Please contact support if you have any questions."
"your_booking_is_unab_1ffd52fa","Your booking is unable to pay. Please contact support if you have any questions."
"payment_methods","Payment methods"
"pay_now","Pay now"
"view","View"
"review_your_booking","Review your booking"
"dates","Dates"
"gers","Gers"
"pay","Pay"
"payment","Payment"
"tulbur","Payment"
"day","day"
"hungulult","Discount"
"total_usd","Total (USD)"
"add_methods","Add methods"
"delete","Delete"
"make_default","Make default"
"all_transaction","All transaction"
"usd","USD"
"all","All"
"new_file","New file"
"copy_link","Copy link"
"edit_file","Edit file"
"delete_file","Delete file"
"today","Today"
"personal_information","Personal information"
"social_account","Social account"
"wishlist","Wishlist"
"faq","FAQ"
"see_more","See more"
"share","Share"
"saved","Saved"
"save","Save"
"about_this_place","About this place"
"nearby_stays","Nearby stays"
"show_more","Show more"
"location","Location"
"get_direction","Get direction"
"report_this_listing","Report this listing"
"beautiful_places","Beautiful places"
"20_50","$20 - $50"
"new","New"
"beds","Beds"
"show_all","Show all"
"house_rules","House rules"
"you_ll_be_stayung_in_2f40a2e7","You'll be stayung in someone's home, so please treat it with care and respect."
"similar_places","Similar places"
"share_this_place","Share this place"
"favorite","Favorite"
"staying_hotels","Staying hotels"
"travel_route","Travel route"
"processing_login","Processing login..."
"error_loading_language_data","Error loading language data:"
"page_not_found","Page Not Found"
"the_page_you_re_look_4a4d3a0a","The page you're looking for doesn't exist or has been moved."
"go_back_home","Go back home"
"opening_gerbook","Opening Gerbook..."
"if_nothing_happens_p_644ea5c4","If nothing happens, please download our app"
"download_the_app_for_1389053d","Download the app for more fast booking"
"app_promotion_text","App promotion text"
"get_it_on","GET IT ON"
"google_play","Google Play"
"download_on_the","Download on the"
"app_store","App Store"
"log_in","Log in"
"or","OR"
"dont_have_an_account","Dont have an account?"
"create_account","Create account"
"per_night","Per night"
"how_many_guests","How many guests"
"guest_count","Guest count"
"book_now","Book now"
"pending","Pending"
"paid","Paid"
"cancelled","Cancelled"
"per_day","Per day"
"guests","Guests"
"check_in","Check In"
"check_out","Check Out"
"discount","Discount"
"zahialga_tsutslah","Cancel Booking"
"special_price","Special price"
"sub_total","Sub total"
"reservation_unavaila_2d7db625","Reservation Unavailable for Selected Dates"
"we_apologize_but_the_4c2ff5db","We apologize, but the property is not available for booking during your selected dates. Please select different dates or contact our customer support team for assistance."
"start_date","Start date:"
"end_date","End date:"
"clear","Clear"
"when","When"
"add_dates","Add dates"
"this_weekend","This weekend"
"next_week","Next week"
"list","List"
"close_panel","Close panel"
"az","AZ"
"od","OD"
"holboo_barih","Contact Us"
"hayag_suhbaatar_duur_60f89336","Хаяг: Сүхбаатар дүүрэг 1-р хороо 5-р хороолол 14б байр 52 тоот"
"utas","Phone:"
"tsagiyn_huvaar","Working Hours:"
"davaa_baasan","Monday-Friday"
"09_00_17_00","09:00 - 17:00"
"tsahim_shuudan","Email:"
"support_azod_mn","support@azod.mn"
"soshial_holboosuud","Social Links:"
"frequently_asked_questions","Frequently Asked Questions"
"tag","Tag:"
"place_offers","Place Offers:"
"tags","Tags"
"clear_all","Clear all"
"filter","Filter"
"filters","Filters"
"home","Home"
"stays","Stays"
"gerbooking_gmail_com","gerbooking@gmail.com"
"about_us","About us"
"privacy_policy","Privacy policy"
"terms_of_service","Terms of service"
"notifications","Notifications"
"odoogoor_medegdel_ba_154a6107","No notifications available."
"host_as","Host as"
"show_all_photos","Show all photos"
"unuudriyn_oroh_zahialga","Today's Check-in Bookings"
"120_unelgee","120 үнэлгээ"
"bolih","Cancel"
"hadgalah","Save"
"zasah","Edit"
"niyt_orlogo","Total Income"
"12_zahialga","12 захиалга"
"payment_successful","Payment successful"
"your_payment_has_bee_43fefd6e","Your payment has been successfully processed."
"check_payment","Check Payment"
"cancel","Cancel"
"no_payment_methods_found","No payment methods found"
"canceled","Canceled"
"placesdetail","PlacesDetail"
"change_email","Change email"
"update_password","Update password"
"password","Password"
"change_password","Change Password"
"last_changed_6_months_ago","Last changed 6 months ago"
"account","Account"
"deactive_account","Deactive account"
"you_can_delete_your__6c67bfc5","You can delete your account from our database."
"verify_email","Verify email"
"change_passwords","Change passwords"
"facebook","Facebook"
"https","https://"
"viber","Viber"
"telegram","Telegram"
"line","Line"
"whatsapp","WhatsApp"
"please_enter_the_tha_7d2946af","Please enter the that we send to your email. Please check your email."
"verify_your_password","Verify your password"
"for_your_security_pl_4f7b5790","For your security, please re-enter your password to continue."
"save_a_review","Save a review"
"overall_rating","Overall rating"
"out_of_5_stars","out of 5 stars"
"based_on","Based on"
"star_reviews","star reviews"
"date","Date"
"pick_a_date","Pick a Date"
"number_of_people","Number of people"
"price_range","Price range"
"min","Min:"
"currency","Currency"
"ars","ARS"
"eur","EUR"
"booking_options","Booking options"
"amenties","Amenties"
"who_s_coming","Who's coming?"
"count_of_guests","Count of guests"
"who","Who"
"add_guests","Add guests"
"search","Search"
"to","to"
"days_before_the_start_date","days before the start date"
"created_by","Created by"
"individual","Individual"
"organization","Organization"
"please_enter_your_email","Please enter your email"
"phone","Phone:"
"email","Email:"
"city","City:"
"state","State:"
"country","Country:"
"postal_code","Postal Code:"
"confirmed","Confirmed"
"ilerts_oldsonguy","No results found."
"developed_by_goodtech_soft","Developed by Goodtech Soft"
"previous","Previous"
"next","Next"
"no_results_found","No results found"
"umnuh","Previous"
"daraah","Next"
"showing","Showing"
"of","of"
"results","results"
"traveler","Traveler"
"merchant","Merchant"
"please_enter_your_password","Please enter your password"
"please_verify_your_password","Please verify your password"
"passwords_must_match","Passwords must match"
"please_enter_your_old_password","Please enter your old password"
"please_enter_your_new_password","Please enter your new password"
"resend","Resend"
"this_field_is_required","This field is required!"
"register_successfully","Register successfully!"
"organization_registration_number","Organization registration number"
"registration_number","Registration number"
"please_enter_your_organization_registration_number","Please enter your organization registration number"
"please_enter_your_registration_number","Please enter your registration number"
"please_enter_your_information_correctly","Please enter your information correctly."
"first_name","First name"
"last_name","Last name"
"birth_date","Birth date"
"gender","Gender"
"male","Male"
"female","Female"
"please_enter_your_first_name","Please enter your first name"
"please_enter_your_last_name","Please enter your last name"
